parameter_name,Alanine aminotransferase
parameter_id,IMPC_CBC_013_001
analysis_id,f919k37p945571f
pvalue,0.2386675
gene_accession_id,MGI:2446186
mouse_life_stage,Late adult
gene_symbol,Lpgat1
mouse_strain,C57BL
