mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446274
pvalue,0.5192107
parameter_id,IMPC_CBC_001_001
analysis_id,akj4br120vg2qw2
mouse_strain,C57BL
gene_symbol,Frmpd1
parameter_name,Sodium
