gene_symbol,Maco1
mouse_strain,C57BL
parameter_name,Neural tube morphology
pvalue,0.4660625
mouse_life_stage,Early adult
gene_accession_id,MGI:1913396
analysis_id,206xv762537728c
parameter_id,IMPC_GEL_060_001
