gene_symbol,Slx4ip
pvalue,0.5851414
mouse_life_stage,Early adult
analysis_id,j8age40649619ag
parameter_id,HRWLLA_FEA_015_001
parameter_name,Cue Baseline % Freezing Time
mouse_strain,C57BL
gene_accession_id,MGI:1921493
