analysis_id,z749l3w2w5f97yg
pvalue,0.65055
parameter_name,KLRG1+ mature NK cell percentage
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
parameter_id,MGP_PBI_011_001
