parameter_name,% Freezing duration pre-cue-2
analysis_id,ds614up95rp66fp
pvalue,0.5226623
parameter_id,ICS_FEA_019_001
gene_symbol,Clvs1
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
mouse_strain,C57BL
