parameter_name,Lean/Body weight
parameter_id,ESLIM_005_001_702
pvalue,0.4428091
gene_accession_id,MGI:108072
mouse_strain,C57BL
gene_symbol,Traf6
mouse_life_stage,Early adult
analysis_id,l57k57giinpmmem
