analysis_id,m142hx3d2m017x7
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of CD45+
gene_accession_id,MGI:2446186
pvalue,0.2979512
mouse_strain,C57BL
parameter_id,MGP_IMM_078_001
gene_symbol,Lpgat1
