analysis_id,520q305135rd8e6
gene_symbol,Bmi1
gene_accession_id,MGI:88174
mouse_strain,C57BL
parameter_id,MGP_IMM_041_001
mouse_life_stage,Early adult
pvalue,0.8796606
parameter_name,Total B cells - % of CD45+
