parameter_id,IMPC_XRY_001_001
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
analysis_id,90e1bc2qd68000f
parameter_name,Skull shape
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.08403887
