analysis_id,s6nmj32sb55447t
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Cds2
parameter_name,Corneal opacity
gene_accession_id,MGI:1332236
pvalue,0.1947473
parameter_id,IMPC_EYE_008_001
