parameter_name,Creatinine
pvalue,0.2496685
gene_symbol,Mecom
parameter_id,IMPC_CBC_005_001
mouse_strain,C3H
mouse_life_stage,Early adult
analysis_id,4us97200vds64h0
gene_accession_id,MGI:95457
