analysis_id,8l6sqhh0rz3a41y
parameter_name,Periphery resting time
gene_accession_id,MGI:1346088
pvalue,0.9385381
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_011_001
gene_symbol,Cd52
