parameter_name,Periphery average speed
pvalue,0.7455538
parameter_id,HRWLLA_OFD_013_001
mouse_strain,C57BL
gene_accession_id,MGI:1916220
mouse_life_stage,Early adult
analysis_id,83tcqt176c01zin
gene_symbol,Dcaf12
