analysis_id,7p59ag29344gny8
parameter_id,IMPC_OFD_018_001
parameter_name,Latency to center entry
mouse_strain,C57BL
gene_symbol,Golm2
pvalue,0.1855063
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
