analysis_id,c0u5njr2y92qqi9
pvalue,0.1331594
mouse_strain,C57BL
gene_symbol,Mecom
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_IMM_006_001
gene_accession_id,MGI:95457
mouse_life_stage,E12.5
