parameter_name,Tibia length
gene_symbol,Slc28a2
pvalue,0.9701347
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,TCPLA_XRY_033_001
analysis_id,n036628atbv7tmc
gene_accession_id,MGI:1913105
