analysis_id,10hb37m39tg3502
parameter_name,Delayed embryonic development
gene_accession_id,MGI:1915087
mouse_strain,C57BL
parameter_id,IMPC_GEL_063_001
mouse_life_stage,Early adult
pvalue,0.1811251
gene_symbol,Tiprl
