parameter_id,M-G-P_016_001_001
analysis_id,21jlp9y5wz534z7
gene_accession_id,MGI:1915033
pvalue,0.2986744
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,White blood cell-count
gene_symbol,Ahctf1
