parameter_id,TCPLA_GRS_011_001
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
pvalue,0.7264024
analysis_id,js062zm19yrm6q2
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
gene_symbol,Morn5
