parameter_name,Eye
parameter_id,IMPC_EYE_001_001
analysis_id,czrj136a970ibp9
mouse_strain,C57BL
pvalue,0.3006952
mouse_life_stage,E18.5
gene_symbol,Nanp
gene_accession_id,MGI:1914561
