gene_symbol,Morn5
pvalue,0.08729149
parameter_name,Body position
gene_accession_id,MGI:1922745
analysis_id,7cmgo1r552477be
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_008_001_001
