parameter_id,MGP_PBI_008_001
gene_accession_id,MGI:1925049
analysis_id,7196ofdm338l1e4
pvalue,0.700535
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Sla2
parameter_name,CD4+ CD25+ alpha beta regulatory T cell percentage
