parameter_name,Fasted blood glucose concentration
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1918025
analysis_id,a125yg3f174x6fs
pvalue,0.3838156
parameter_id,IMPC_IPG_010_001
gene_symbol,Zmynd8
