parameter_id,JAX_OFD_015_001
analysis_id,l5aw437wrnuim66
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
parameter_name,Center resting time
pvalue,0.4896787
gene_symbol,Etfdh
mouse_strain,C57BL
