analysis_id,1c922bd3s7p468h
mouse_life_stage,Early adult
parameter_id,MGP_IMM_028_001
gene_accession_id,MGI:1927232
gene_symbol,Rab13
pvalue,0.8907447
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
mouse_strain,C57BL
