analysis_id,4cen5rlu4r61w3y
parameter_id,IMPC_CBC_009_001
gene_accession_id,MGI:1338032
mouse_strain,C57BL
parameter_name,Calcium
mouse_life_stage,Early adult
gene_symbol,Sema6c
pvalue,0.6005354
