parameter_name,Percent time in dark
pvalue,0.6041291
gene_accession_id,MGI:104805
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,40unk945625537p
gene_symbol,Snrpb2
parameter_id,JAX_LDT_008_001
