parameter_name,PQ
gene_accession_id,MGI:1341628
parameter_id,IMPC_ECG_005_001
analysis_id,10l6085r620t108
mouse_life_stage,Early adult
gene_symbol,Atrn
pvalue,0.7237326
mouse_strain,C57BL
