parameter_name,Basophil cell count
gene_accession_id,MGI:106100
analysis_id,l79131rqfhzs17v
mouse_strain,C57BL
gene_symbol,Etfdh
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_037_001
pvalue,0.3437048
