gene_symbol,Sprr1b
pvalue,0.1098029
analysis_id,apv1499hi1i5w97
mouse_strain,C57BL
parameter_name,Tibia length
parameter_id,IMPC_XRY_033_001
gene_accession_id,MGI:106659
mouse_life_stage,Early adult
