analysis_id,z96c934bs64h9l8
mouse_life_stage,Early adult
parameter_name,Prepulse inhibition - PP4
parameter_id,ESLIM_011_001_704
mouse_strain,C57BL
pvalue,0.1749317
gene_accession_id,MGI:99501
gene_symbol,Fgb
