analysis_id,529fv6p08t111z4
mouse_strain,C57BL
parameter_name,Clavicle
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_007_001
gene_accession_id,MGI:1338032
pvalue,0.1741956
gene_symbol,Sema6c
