gene_symbol,Fgb
mouse_life_stage,E15.5
mouse_strain,C57BL
pvalue,0.9469626
analysis_id,1j1j84d668534c9
parameter_name,Click-evoked ABR threshold
gene_accession_id,MGI:99501
parameter_id,IMPC_ABR_002_001
