parameter_name,CV
pvalue,0.9767572
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,b3xe883zy693sg3
gene_accession_id,MGI:1914561
parameter_id,IMPC_ECG_003_001
gene_symbol,Nanp
