analysis_id,e8lvxb7c3lr5s43
gene_accession_id,MGI:2385884
parameter_name,Total protein
parameter_id,IMPC_CBC_006_001
mouse_strain,129SV
mouse_life_stage,Early adult
gene_symbol,Ddx27
pvalue,0.1795005
