parameter_name,Follicular B Cells (CD21/35+)
parameter_id,IMPC_IMM_067_001
mouse_strain,C57BL
gene_symbol,Lpgat1
analysis_id,741nadp91u3zud7
gene_accession_id,MGI:2446186
mouse_life_stage,Middle aged adult
pvalue,0.5382867
