parameter_id,IMPC_CSD_012_001
gene_accession_id,MGI:2444113
parameter_name,Coat - hair distribution - head
mouse_life_stage,Early adult
pvalue,0.2899527
gene_symbol,Nemp2
analysis_id,z27k8gq9e8j83mp
mouse_strain,C57BL
