parameter_id,IMPC_GEP_084_001
pvalue,0.9475081
mouse_strain,C57BL
gene_symbol,Dnaaf9
gene_accession_id,MGI:1923029
analysis_id,802zy03956c3247
mouse_life_stage,Early adult
parameter_name,Limb morphology
