analysis_id,2cx656u62uccjo5
gene_symbol,Bach2
mouse_strain,C57BL
parameter_name,Corneal opacity
parameter_id,IMPC_EYE_008_001
mouse_life_stage,Early adult
pvalue,0.5959105
gene_accession_id,MGI:894679
