parameter_name,110dB startle magnitude
gene_symbol,Pum1
pvalue,0.914283
parameter_id,ESLIM_011_001_006
analysis_id,92s55917729779j
mouse_strain,C57BL
gene_accession_id,MGI:1931749
mouse_life_stage,Early adult
