gene_symbol,Pglyrp3
parameter_name,Head morphology
mouse_strain,C57BL
analysis_id,46b4br4s2w5c9b9
mouse_life_stage,Early adult
parameter_id,MGP_CSD_064_001
gene_accession_id,MGI:2685266
pvalue,0.6502737
