parameter_id,IMPC_ECG_005_001
gene_symbol,Cisd2
gene_accession_id,MGI:1914256
analysis_id,0z8a07sf8h8fp3q
mouse_life_stage,Early adult
parameter_name,PQ
pvalue,0.438399
mouse_strain,C57BL
