parameter_name,Hindlimb nail - number
analysis_id,61024zg9142u259
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_051_002
gene_symbol,Alkbh3
gene_accession_id,MGI:1916363
mouse_strain,C57BL
pvalue,0.4250668
