gene_symbol,Dcaf10
pvalue,0.5866074
analysis_id,80y4zh3p8qd2pft
parameter_name,Total cholesterol
mouse_strain,C57BL
gene_accession_id,MGI:2140179
parameter_id,HMGULA_CBC_015_001
mouse_life_stage,Early adult
