Analysis_id,3h51x1q00j0q25k
Mouse_life_stage,Early adult
Parameter_name,Resting Treg cells - % of CD45+
Pvalue,0.4727046
Parameter_id,MGP_IMM_078_001
Gene_accession_id,MGI:894679
Gene_symbol,Bach2
Mouse_strain,C57BL
