analysis_id,f97r3776i4zi277
gene_symbol,Clvs1
gene_accession_id,MGI:1921688
parameter_name,BMC/Body weight
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,HRWLLA_DXA_007_001
pvalue,0.9222283
