analysis_id,823vgy7rms011x0
parameter_id,MGP_IMM_013_001
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
parameter_name,Total CD8+ T cells - % of ab T cells
mouse_life_stage,E12.5
pvalue,0.3692233
mouse_strain,C57BL
