gene_symbol,Atg4c
gene_accession_id,MGI:2651854
analysis_id,1vo9121d27fa21a
parameter_name,Number of centre entries
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_007_001_015
pvalue,0.4275948
