parameter_id,M-G-P_007_001_008
analysis_id,024o6q74968u897
parameter_name,Periphery - Permanence Time
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2500757
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
