gene_symbol,Rnf114
parameter_name,Body weight
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
analysis_id,55lrjhv39k95nho
parameter_id,M-G-P_009_001_003
mouse_strain,C57BL
pvalue,0.5426015
