analysis_id,zi91x40565c6is6
parameter_id,IMPC_HEM_006_001
pvalue,0.0513642
gene_accession_id,MGI:2670995
gene_symbol,Trp53i11
parameter_name,Mean corpuscular hemoglobin
mouse_life_stage,Early adult
mouse_strain,C57BL
