analysis_id,617302i6533kb7h
gene_accession_id,MGI:2135738
parameter_id,M-G-P_005_001_004
gene_symbol,Abo
mouse_strain,C57BL
parameter_name,Bone Mineral Density (excluding skull)
pvalue,0.1514975
mouse_life_stage,Early adult
