analysis_id,kx61956hk5a1k8w
pvalue,0.9319058
gene_accession_id,MGI:96757
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_MLN_001_001
parameter_name,Total T cells - % of CD45+
gene_symbol,Lcn2
