analysis_id,28nof480955s098
parameter_name,Neutrophils
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
parameter_id,IMPC_IMM_050_001
pvalue,0.8996626
gene_symbol,Npbwr1
