parameter_id,HRWLLA_CSD_008_001
parameter_name,Coat - color pattern - back
gene_symbol,Kdm5b
analysis_id,9w6om5366m4p8h1
gene_accession_id,MGI:1922855
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9240171
