parameter_name,Body Weight
gene_symbol,Orc2
mouse_strain,C57BL
gene_accession_id,MGI:1328306
pvalue,0.3333285
analysis_id,fyif75nhpt0mly5
parameter_id,M-G-P_012_001_005
mouse_life_stage,E9.5
