parameter_id,JAX_SLW_013_001
gene_accession_id,MGI:1346088
mouse_life_stage,Early adult
analysis_id,7q50g8khog3s41j
pvalue,1.202032
gene_symbol,Cd52
mouse_strain,C57BL
parameter_name,Breath rate during sleep mean
