analysis_id,4z164bl416uq908
gene_accession_id,MGI:2684980
mouse_strain,129SV
parameter_id,IMPC_ABR_002_001
parameter_name,Click-evoked ABR threshold
pvalue,0.8094932
gene_symbol,Mms22l
mouse_life_stage,Early adult
