analysis_id,640n637yiijw6w2
parameter_name,Others
mouse_strain,C57BL
parameter_id,IMPC_IMM_006_001
gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
pvalue,0.8054137
mouse_life_stage,Early adult
