analysis_id,93h3100j17k77p7
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
parameter_id,ESLIM_011_001_006
pvalue,0.7776558
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,110dB startle magnitude
