pvalue,1.128578e-06
gene_accession_id,MGI:1914583
parameter_id,IMPC_EYE_009_001
parameter_name,Corneal vascularization
analysis_id,cu74d393pb8h309
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Stk35
