gene_symbol,Tiprl
mouse_life_stage,E12.5
gene_accession_id,MGI:1915087
analysis_id,ikcu2lo3bbu0fdh
mouse_strain,C57BL
pvalue,0.8884442
parameter_id,IMPC_CBC_009_001
parameter_name,Calcium
