analysis_id,4ap927m6pz68gw6
parameter_name,Periphery average speed
parameter_id,ESLIM_007_001_009
mouse_strain,C57BL
gene_accession_id,MGI:2444554
mouse_life_stage,E12.5
pvalue,0.3128984
gene_symbol,Mapkap1
